
  +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
  +  SHELXD 2013/2     MACROMOLECULAR DIRECT AND PATTERSON METHODS  +
  +  Copyright(c) George M. Sheldrick 2000-2013  Multi-CPU version  +
  +  fae_kappa_fa               started at 10:54:48 on 13 Mar 2017  +
  +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

 12 threads running in parallel on 12 CPUs

 Read instructions and process reflection data
 =============================================
 SHEL  dmax  999.00   dmin   3.00
 MIND  mdis -1.000   mdeq  2.200
 FRES  res  2.5
 SEED  nrand      1
 PATS  np  100   npt    99999   nf     5
 PSMF  pres  2.5   psfac  0.340
 FIND  na    16   ncy      20
 DSUL  nss    0   dss 2.030
 TANG  ftan -0.900   fex 0.400
 NTPR  ntpr   100
 SKIP  min2   0.0
 ESEL  Emin   1.500   I/sigI 0.500
 WEED  fro  0.000
 CCWT  g   0.010
 WEAK  wwk   1.000
 MAGI  wd   0.000   d1   5.200   d2   6.500
 NCS   ncs  0   wn   5.000   tol   0.500
 NTRY  ntry      1000
 ===============================================================================
  13008 unique data with d > 3.00A,  mean(I/sigma) =  1.73,  mean|E^2-1| = 0.937
   1768 E > 1.500,  average of  99.9 TPR for each phase,  <wt mean cos> = 0.609
 ===============================================================================
 Try      1, CPU 3, CC All/Weak 17.7 /  5.7, CFOM 23.3, best 89.6, PATFOM   1.78
 Try      2, CPU11, CC All/Weak 18.6 /  7.4, CFOM 26.0, best 89.6, PATFOM   2.79
 Try      3, CPU 4, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try      4, CPU 7, CC All/Weak 33.8 / 17.9, CFOM 51.7, best 89.6, PATFOM   3.59
 Try      5, CPU10, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try      6, CPU 8, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try      7, CPU 5, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try      8, CPU 1, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try      9, CPU 2, CC All/Weak 35.0 / 18.4, CFOM 53.4, best 89.6, PATFOM   3.78
 Try     10, CPU 6, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try     11, CPU 9, CC All/Weak 35.1 / 18.6, CFOM 53.7, best 89.6, PATFOM   3.72
 Try     12, CPU12, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try     13, CPU 3, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try     14, CPU10, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try     15, CPU11, CC All/Weak 18.4 /  4.7, CFOM 23.1, best 89.6, PATFOM   1.77
 Try     16, CPU 8, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try     17, CPU 7, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
 Try     18, CPU 4, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try     19, CPU 5, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.62
 Try     20, CPU 2, CC All/Weak 55.3 / 34.2, CFOM 89.6, best 89.6, PATFOM  12.65
